Sample File,NoC_True,max_allele_per_sample,total_alleles_per_sample,avg_alleles_per_marker,markers_gt2_alleles,markers_gt3_alleles,markers_gt4_alleles,avg_peak_height,std_peak_height,baseline_pred,预测正确,corrected_pred
F06_RD14-0003-46_47_48-1;1;1-M3d-0.375IP-Q0.5_002.5sec.fsa,3,9,94,5.875,15,14,12,115.4672131147541,163.63435273644367,3,True,3
F07_RD14-0003-46_47_48-1;1;1-M3e-0.045IP-Q0.8_002.5sec.fsa,3,11,86,5.375,15,13,10,14.802919708029197,18.14153481738165,3,True,3
G06_RD14-0003-46_47_48-1;1;1-M4d-0.189IP-Q0.6_003.5sec.fsa,3,10,100,6.25,15,15,14,51.91240875912409,79.72383163260925,3,True,3
H06_RD14-0003-46_47_48-1;1;1-M4d-0.093IP-Q0.6_004.5sec.fsa,3,9,95,5.9375,15,15,13,36.93700787401575,58.17226034387705,3,True,3
B05_RD14-0003-40_41_42_43-1;1;1;1-M3S10-0.06IP-Q1.5_002.5sec.fsa,4,9,83,5.1875,15,12,10,10.740157480314961,11.317364519071692,3,False,3
G04_RD14-0003-40_41_42_43-1;1;1;1-M1S10-0.5IP-Q1.3_003.5sec.fsa,4,13,104,6.5,15,14,13,85.3076923076923,134.50240458666346,4,True,4
H04_RD14-0003-40_41_42_43-1;1;1;1-M2S10-0.252IP-Q1.3_004.5sec.fsa,4,11,108,6.75,15,15,12,45.1156462585034,72.74062732137307,4,True,4
B01_RD14-0003-40_41_42_43-1;1;1;1-M3a-0.5IP-Q0.9_002.5sec.fsa,4,12,105,6.5625,15,15,13,176.67441860465115,225.1654309471252,4,True,4
B02_RD14-0003-40_41_42_43-1;1;1;1-M2e-0.5IP-Q3.2_002.5sec.fsa,4,14,110,6.875,15,13,12,38.64150943396226,72.44528996569423,4,True,4
C01_RD14-0003-40_41_42_43-1;1;1;1-M3a-0.252IP-Q0.9_003.5sec.fsa,4,12,110,6.875,15,15,12,92.55905511811024,122.64729748368893,4,True,4
C02_RD14-0003-40_41_42_43-1;1;1;1-M2e-0.252IP-Q3.2_003.5sec.fsa,4,9,100,6.25,15,14,13,22.155405405405407,39.66418779846727,4,True,4
D01_RD14-0003-40_41_42_43-1;1;1;1-M3a-0.124IP-Q0.9_004.5sec.fsa,4,10,106,6.625,15,15,14,65.30656934306569,95.58808395800024,4,True,4
D02_RD14-0003-40_41_42_43-1;1;1;1-M2e-0.124IP-Q3.2_004.5sec.fsa,4,11,98,6.125,16,14,12,17.876543209876544,27.8750016978188,2,False,3
E01_RD14-0003-40_41_42_43-1;1;1;1-M4a-0.06IP-Q0.7_001.5sec.fsa,4,12,103,6.4375,16,15,15,28.057142857142857,43.9233753057848,4,True,4
E02_RD14-0003-40_41_42_43-1;1;1;1-M4e-0.06IP-Q5.6_001.5sec.fsa,4,12,74,4.625,13,12,8,8.792592592592593,11.124194618707012,4,True,4
A06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1S30-0.315IP-Q2.4_001.5sec.fsa,5,13,92,5.75,14,12,11,45.86153846153846,86.39083301266717,3,False,3
B06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2S30-0.155IP-Q2.9_002.5sec.fsa,5,10,89,5.5625,15,13,10,17.387755102040817,30.26197237992223,5,True,5
C06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2S30-0.075IP-Q2.9_003.5sec.fsa,5,9,74,4.625,13,12,8,10.880952380952381,13.842893999656075,5,True,5
H05_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1S30-0.625IP-Q2.4_004.5sec.fsa,5,11,104,6.5,15,15,13,85.5,157.79170108162393,5,True,5
A07_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2d-0.075IP-Q2.8_001.5sec.fsa,5,8,78,4.875,15,11,8,16.166666666666668,21.692671573598307,2,False,3
B06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2a-0.625IP-Q0.7_002.5sec.fsa,5,10,102,6.375,15,15,14,259.3524590163934,309.3687233341055,5,True,5
B07_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1e-0.625IP-Q1.9_002.5sec.fsa,5,15,113,7.0625,15,15,14,79.03424657534246,128.24832670191932,5,True,5
C06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2a-0.315IP-Q0.7_003.5sec.fsa,5,13,111,6.9375,16,15,15,136.24615384615385,178.6247229578232,5,True,5
C07_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1e-0.315IP-Q1.9_003.5sec.fsa,5,15,114,7.125,16,15,15,43.042857142857144,66.32000809553925,5,True,5
