Sample File,NoC_True,max_allele_per_sample,total_alleles_per_sample,avg_alleles_per_marker,markers_gt2_alleles,markers_gt3_alleles,markers_gt4_alleles,avg_peak_height,std_peak_height,avg_phr,std_phr,min_phr,median_phr,num_loci_with_phr,num_severely_imbalanced_loci,ratio_severely_imbalanced_loci,skewness_peak_height,kurtosis_peak_height,inter_locus_balance_entropy,height_size_correlation,height_size_slope,avg_locus_allele_entropy,peak_height_entropy,num_loci_with_alleles,num_loci_no_effective_alleles,baseline_pred
E01_RD14-0003-44_45-1;1-M4a-0.031IP-Q0.5_001.5sec.fsa,2,4,38,2.375,6,2,0,73.5,41.22827027987313,0.5593217945893018,0.22735189966962663,0.10612244897959183,0.6523475550360414,8,3.0,0.375,1.8946341444144288,5.843668804888267,3.8874223205721115,-0.01587561059745381,-0.008858000238767611,1.146240625180289,2.3146374612717877,16,7,3
E02_RD14-0003-44_45-1;1-M4e-0.031IP-Q1.3_001.5sec.fsa,2,3,21,1.6153846153846154,2,0,0,39.61904761904762,19.499938949843386,0.6253912080504598,0.2604362882675919,0.3188405797101449,0.6627906976744187,4,1.0,0.25,0.9184116319410145,-0.3225039390861384,3.4148844236105034,-0.37101655424893654,-0.1251437296856816,0.5515326924186394,2.678031708493046,13,10,2
F01_RD14-0003-44_45-1;1-M2d-0.25IP-Q0.7_002.5sec.fsa,2,4,47,2.9375,11,4,0,231.14893617021278,133.12530526168786,0.5870315438064073,0.23385107497093294,0.27977315689981097,0.6495327102803738,5,2.0,0.4,0.9935979074309649,0.08449698157762331,3.889874928678498,-0.5226343056499237,-0.9969401789047548,1.505921094065506,2.9732417765190835,16,7,2
G01_RD14-0003-44_45-1;1-M3d-0.126IP-Q0.5_003.5sec.fsa,2,4,45,2.8125,10,3,0,134.04444444444445,77.14094407333405,0.5372523436020394,0.16359121288207967,0.3220858895705521,0.5182106352697632,6,3.0,0.5,0.8710437993294913,-0.011176444469090718,3.8500452608921276,-0.48848432105807055,-0.5516050062844222,1.443421094065506,3.0628982316895312,16,7,2
H01_RD14-0003-44_45-1;1-M4d-0.062IP-Q0.9_004.5sec.fsa,2,4,41,2.5625,8,3,0,70.53658536585365,40.48956505136577,0.5316778274203294,0.2756191929566227,0.26011560693641617,0.4646306132303235,6,3.0,0.5,0.8842076137233297,-0.15607310825092702,3.869952052880019,-0.35983704053438975,-0.21440094848538424,1.2453007814753612,2.7991653463356183,16,7,2
A03_RD14-0003-46_47_48-1;1;1-M3S10-0.045IP-Q1.4_001.5sec.fsa,3,3,22,2.2,3,0,0,41.40909090909091,20.64128800639075,0.6825077700077701,0.22329904450783064,0.4090909090909091,0.6522727272727273,6,1.0,0.16666666666666666,1.7421314265471726,3.4916857875373646,3.1872847423810544,-0.1537077935045812,-0.06780018786052738,1.0754887502163468,2.295357051617442,10,13,3
F02_RD14-0003-46_47_48-1;1;1-M2S10-0.375IP-Q1.2_002.5sec.fsa,3,5,32,2.2857142857142856,6,2,1,215.25,150.53881719965443,0.5519737871674492,0.30906737473233176,0.2563380281690141,0.5266666666666666,3,1.0,0.3333333333333333,0.9243612466060301,-0.13773234044784743,3.415964219627174,-0.4339345320352233,-1.0085442655343972,0.975841292697999,2.560003600410272,14,9,3
G02_RD14-0003-46_47_48-1;1;1-M2S10-0.189IP-Q1.2_003.5sec.fsa,3,5,32,2.1333333333333333,5,2,1,141.1875,92.06674910260804,0.4557055282992596,0.1872244857125194,0.2471264367816092,0.4743119266055046,4,2.0,0.5,0.9843184258862698,0.26834435356163766,3.4426444773504796,-0.41779192208293014,-0.5801344861515554,0.8717877064700553,2.8706573285181993,15,8,2
H02_RD14-0003-46_47_48-1;1;1-M3S10-0.093IP-Q1.4_004.5sec.fsa,3,4,35,2.5,6,4,0,73.48571428571428,49.87948501348109,0.5693614847939867,0.2233615592854762,0.2,0.6618705035971223,5,1.0,0.2,1.084817998119362,0.23190500871718633,3.5547098685322536,-0.48703326236677397,-0.41916781126207797,1.1549946429601652,2.6499472798337864,14,9,3
A07_RD14-0003-46_47_48-1;1;1-M4d-0.045IP-Q0.6_001.5sec.fsa,3,5,41,2.5625,7,3,1,52.170731707317074,25.932510907184042,0.716188647142246,0.24849703860379002,0.31521739130434784,0.8088235294117647,7,2.0,0.2857142857142857,0.8515383163924458,-0.33503098610858384,3.895234054103974,-0.36917840709629357,-0.12692983960556808,1.2288611311107491,2.9556578115679617,16,7,2
B06_RD14-0003-46_47_48-1;1;1-M2a-0.375IP-Q0.4_002.5sec.fsa,3,6,60,3.75,14,8,4,457.15,293.63264406570494,0.5696093709987782,0.52738762313612,0.19669000636537237,0.5696093709987782,2,1.0,0.5,1.7071966779330572,2.9631013281426224,3.9771759112935037,-0.12394994380491406,-0.5171800128321735,1.8327222622214983,2.4403873175068496,16,7,5
B07_RD14-0003-46_47_48-1;1;1-M2e-0.375IP-Q1.0_002.5sec.fsa,3,5,47,2.9375,11,2,2,191.38297872340425,151.4851912968349,0.5937555262153824,0.2553064994270721,0.30021141649048627,0.5161290322580645,5,2.0,0.4,1.4396397641760232,1.1854008691805005,3.7235712835271118,-0.5981526360260851,-1.3019723311133637,1.4942824185165706,2.4910263640312134,16,7,3
C06_RD14-0003-46_47_48-1;1;1-M3a-0.189IP-Q0.5_003.5sec.fsa,3,6,55,3.4375,12,7,3,228.4909090909091,177.3337377530134,0.514056437906007,0.34616609046160984,0.12958715596330275,0.5235932704331022,4,2.0,0.5,2.148659987683891,4.682378229902287,3.9286744123356554,-0.0902871679016138,-0.22420240946038195,1.6971019496313537,2.187429257641788,16,7,4
C07_RD14-0003-46_47_48-1;1;1-M2e-0.189IP-Q1.0_003.5sec.fsa,3,5,39,2.4375,7,1,1,133.51282051282053,97.06776574691784,0.6673639429196904,0.29085136411128343,0.20738636363636365,0.7607223476297968,7,2.0,0.2857142857142857,1.5129559077360348,1.5482939983391057,3.7121289917526856,-0.42011490788513584,-0.5853471854523665,1.1769814437008936,2.3216079870944935,16,7,3
D06_RD14-0003-46_47_48-1;1;1-M3a-0.093IP-Q0.5_004.5sec.fsa,3,5,48,3.0,11,4,1,153.64583333333334,104.6765005600758,0.6950424411397156,0.2555957943210333,0.35177865612648224,0.6609442060085837,5,1.0,0.2,1.7954872601121596,2.7552727808114206,3.9022684892166,-0.09934573998822545,-0.13905359943210685,1.526041599995966,2.4426065103715944,16,7,3
E06_RD14-0003-46_47_48-1;1;1-M3a-0.045IP-Q0.5_001.5sec.fsa,3,6,48,3.0,10,3,2,94.72916666666667,66.29423118682712,0.556755953649667,0.28593843022077114,0.25252525252525254,0.5662540953767746,6,3.0,0.5,1.5055915386364989,1.630075559567378,3.9140379668680945,-0.06352893803935147,-0.05758037546839159,1.5001017562910381,2.583298234328004,16,7,3
E07_RD14-0003-46_47_48-1;1;1-M3e-0.093IP-Q0.8_001.5sec.fsa,3,4,44,2.75,10,3,0,54.11363636363637,36.42782983474783,0.5588139145563439,0.2585711627072027,0.2891566265060241,0.5285714285714286,5,2.0,0.4,1.3141945417589316,0.6489777169219124,3.8842692312415705,-0.24378135758983402,-0.12530005403425953,1.380921094065506,2.6002207410746507,16,7,3
F06_RD14-0003-46_47_48-1;1;1-M3d-0.375IP-Q0.5_002.5sec.fsa,3,6,52,3.25,13,5,2,252.42307692307693,172.631574845056,0.715603354641121,0.37374259170494606,0.45132743362831856,0.715603354641121,2,1.0,0.5,1.0837327489204935,0.10110598686383732,3.9053033643769766,-0.3361219469566874,-0.814302627958646,1.5991619125861105,2.789342403959125,16,7,3
F07_RD14-0003-46_47_48-1;1;1-M3e-0.045IP-Q0.8_002.5sec.fsa,3,3,23,1.7692307692307692,1,0,0,48.56521739130435,23.058869496369354,0.5966754004635545,0.1469630752500007,0.3645833333333333,0.626984126984127,8,2.0,0.25,0.9293571700133176,0.18478713371851052,3.469707685229378,-0.4927151041428147,-0.14885089643248622,0.7373048077477813,2.876853130799308,13,10,2
G06_RD14-0003-46_47_48-1;1;1-M4d-0.189IP-Q0.6_003.5sec.fsa,3,4,45,2.8125,9,4,0,137.11111111111111,91.76531881584533,0.6142686333670786,0.3301283169027442,0.21076233183856502,0.7430830039525692,7,3.0,0.42857142857142855,1.591496442315503,2.5456688347712886,3.8932665877408787,-0.3438051327908127,-0.42984888308534397,1.4328007814753612,2.5173500397645006,16,7,3
H06_RD14-0003-46_47_48-1;1;1-M4d-0.093IP-Q0.6_004.5sec.fsa,3,3,37,2.3125,7,0,0,102.94594594594595,72.67429086377487,0.6551164185176999,0.35993120437593507,0.162227602905569,0.8823529411764706,7,2.0,0.2857142857142857,2.4130448386170666,7.176745551221419,3.850295307551373,-0.07417993764484394,-0.07333240560289762,1.130921094065506,2.0237268193003475,16,7,4
B05_RD14-0003-40_41_42_43-1;1;1;1-M3S10-0.06IP-Q1.5_002.5sec.fsa,4,2,6,1.5,0,0,0,50.333333333333336,16.268579122549905,0.6816649104320337,0.18910822030046973,0.547945205479452,0.6816649104320337,2,0.0,0.0,0.27407784572082416,-1.3800795639842907,1.783804368480373,-0.6753169304749291,-0.22754988451728178,0.5,2.2516291673878226,4,19,2
G04_RD14-0003-40_41_42_43-1;1;1;1-M1S10-0.5IP-Q1.3_003.5sec.fsa,4,6,48,3.0,9,5,4,206.70833333333334,159.04688969158553,0.5883787648012253,0.312754658968465,0.22713864306784662,0.5891622340425532,4,2.0,0.5,2.3453840590817645,7.72838358513143,3.595952880308646,-0.49129893221943316,-1.2362615394051668,1.3681622992667417,2.0506137404764777,16,7,4
H04_RD14-0003-40_41_42_43-1;1;1;1-M2S10-0.252IP-Q1.3_004.5sec.fsa,4,6,39,2.6,7,4,2,134.97435897435898,92.58381328899185,0.6319017671564037,0.2896965604517652,0.41139240506329117,0.5243128964059197,3,1.0,0.3333333333333333,1.5887845476271707,3.014744743642085,3.506013298688028,-0.41470025163779045,-0.6455647426992668,1.1107852065181325,2.232205745606732,15,8,4
B01_RD14-0003-40_41_42_43-1;1;1;1-M3a-0.5IP-Q0.9_002.5sec.fsa,4,6,69,4.3125,15,10,8,323.95652173913044,219.08536039787086,0.42081447963800905,0.0,0.42081447963800905,0.42081447963800905,1,1.0,1.0,1.4564810416045448,2.0019655117475166,3.9515695458124314,-0.033835552088379316,-0.1068131784008216,2.034523430377491,2.58106415811648,16,7,4
B02_RD14-0003-40_41_42_43-1;1;1;1-M2e-0.5IP-Q3.2_002.5sec.fsa,4,5,33,2.357142857142857,6,3,1,143.63636363636363,104.4553786856552,0.7293939009864484,0.2731357283381448,0.42322834645669294,0.8169014084507042,3,1.0,0.3333333333333333,2.20305417690706,4.998835432199097,3.4018826000982094,-0.46154997093217054,-0.7659702845069835,1.0054868283607736,1.9801694078807641,14,9,4
C01_RD14-0003-40_41_42_43-1;1;1;1-M3a-0.252IP-Q0.9_003.5sec.fsa,4,6,58,3.625,14,7,4,186.22413793103448,128.03193723051362,0.39820465660661286,0.18702579768247624,0.26595744680851063,0.39820465660661286,2,1.0,0.5,2.351245279445853,6.493154299675334,3.9556027419456914,-0.04399584900711151,-0.08265531880717833,1.7903427681519584,2.0538035145713307,16,7,4
C02_RD14-0003-40_41_42_43-1;1;1;1-M2e-0.252IP-Q3.2_003.5sec.fsa,4,4,29,2.230769230769231,4,2,0,82.3103448275862,58.45822895041983,0.6365031092895569,0.2406200100055597,0.2669683257918552,0.6892655367231638,6,2.0,0.3333333333333333,2.039472509919492,3.831251126395407,3.375529104299366,-0.5036479701414902,-0.46457187766082947,1.013071153957101,2.2456637264986954,13,10,4
D01_RD14-0003-40_41_42_43-1;1;1;1-M3a-0.124IP-Q0.9_004.5sec.fsa,4,5,49,3.0625,11,4,2,163.3673469387755,101.45456575021464,0.5738901319100345,0.23908563039774036,0.3619402985074627,0.48672566371681414,5,3.0,0.6,1.537064356719332,2.4938344280837184,3.8934476295787093,0.01340526920403291,0.019490644135277242,1.5461621059264261,2.575205824328524,16,7,3
D02_RD14-0003-40_41_42_43-1;1;1;1-M2e-0.124IP-Q3.2_004.5sec.fsa,4,5,40,2.857142857142857,9,2,1,55.675,34.901610792303494,0.676227564347865,0.2607166760472224,0.3263157894736842,0.673469387755102,5,1.0,0.2,1.654820147335716,3.6120362490728963,3.534533971709715,-0.608444543240499,-0.3497720963799717,1.4583332571382468,2.441945588246486,14,9,3
E01_RD14-0003-40_41_42_43-1;1;1;1-M4a-0.06IP-Q0.7_001.5sec.fsa,4,4,39,2.4375,9,1,0,82.23076923076923,52.52190597538754,0.6281099383073068,0.30282067574139493,0.1987179487179487,0.7354323308270676,4,1.0,0.25,2.153957583300607,6.123372496470427,3.8195444406254033,-0.11513036126595415,-0.08689800814354316,1.167481250360578,2.2416548021922638,16,7,4
E02_RD14-0003-40_41_42_43-1;1;1;1-M4e-0.06IP-Q5.6_001.5sec.fsa,4,2,7,1.4,0,0,0,47.0,17.61628034896508,0.689738430583501,0.35796391578779757,0.43661971830985913,0.689738430583501,2,1.0,0.5,0.6707652172561093,-1.2814460964441179,2.243468561698143,-0.6398649283828911,-0.3175334295550809,0.4,1.8423709931771084,5,18,4
A06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1S30-0.315IP-Q2.4_001.5sec.fsa,5,8,35,3.1818181818181817,6,6,1,141.4857142857143,123.12914583729494,0.9463168268046316,0.006933444171279811,0.9414141414141414,0.9463168268046316,2,0.0,0.0,2.1438266077971426,3.667180121974667,2.9930629166248095,-0.4049696075853504,-1.210376178028066,1.3636363636363635,1.9766298014847978,11,12,5
B06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2S30-0.155IP-Q2.9_002.5sec.fsa,5,5,31,2.8181818181818183,6,4,1,56.61290322580645,48.91876083150842,0.6561105433486629,0.26210033276725503,0.4854368932038835,0.525,3,1.0,0.3333333333333333,2.154256068571138,3.4836877207331804,3.1867402836501255,-0.2423533275794666,-0.21911527999994024,1.3174411905754249,1.8781731905863355,11,12,5
C06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2S30-0.075IP-Q2.9_003.5sec.fsa,5,3,17,1.8888888888888888,2,0,0,37.529411764705884,22.88863704728512,0.6039991542690193,0.25266041016689406,0.2988505747126437,0.602051282051282,4,1.0,0.25,1.6650420499934924,1.6115999363504976,2.9068338201944726,-0.26525499493400984,-0.13089437232283577,0.7966583334935903,2.205109900073869,9,14,5
H05_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1S30-0.625IP-Q2.4_004.5sec.fsa,5,8,38,3.1666666666666665,6,5,3,256.2631578947368,209.17569031028728,0.6676235534820502,0.2661165250973616,0.36082474226804123,0.806060606060606,3,1.0,0.3333333333333333,1.9417771101443377,3.5017317695940253,3.121639978206209,-0.4195827828182344,-2.0944766866416553,1.3524015575413235,2.298261661088538,12,11,5
A07_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2d-0.075IP-Q2.8_001.5sec.fsa,5,5,28,2.5454545454545454,6,2,2,45.857142857142854,31.09568778692311,0.8,0.0,0.8,0.8,1,0.0,0.0,2.9981508393204113,10.494320012548624,3.1534707576739516,-0.25824249663999427,-0.1732055221252958,1.0894278356963043,1.9100239811830302,11,12,5
B06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2a-0.625IP-Q0.7_002.5sec.fsa,5,8,72,4.5,15,13,6,431.80555555555554,299.02530105816527,0.9852774631936579,0.0,0.9852774631936579,0.9852774631936579,1,0.0,0.0,1.3456765726193782,1.6087146317797663,3.968189322426875,0.004565307751068261,0.019561052912272454,2.0955016693051975,2.655812650290755,16,7,5
B07_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1e-0.625IP-Q1.9_002.5sec.fsa,5,8,52,3.25,9,7,2,193.28846153846155,160.00984486114808,0.6826803146765115,0.15848848192919257,0.5179856115107914,0.635576923076923,6,0.0,0.0,2.3467313193984056,5.539388470056121,3.6259528806690993,-0.3982420619253898,-0.9006897324781213,1.5307408185206046,1.8799821368221912,16,7,5
C06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2a-0.315IP-Q0.7_003.5sec.fsa,5,6,64,4.0,14,10,6,262.171875,182.54162862359794,0.634719416020335,0.30661418335619506,0.417910447761194,0.634719416020335,2,1.0,0.5,1.6430859851789559,2.930529632321398,3.9513894432739773,-0.03475741108908756,-0.09329490685760529,1.9248429614922742,2.4967850129048386,16,7,5
C07_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1e-0.315IP-Q1.9_003.5sec.fsa,5,6,38,2.375,6,3,1,121.21052631578948,86.73543429232178,0.6321154120271171,0.21328202784047365,0.40082644628099173,0.6082474226804123,5,2.0,0.4,2.395151804267503,6.75826873025084,3.603539644274352,-0.3244902744901698,-0.4414187085631802,1.021240625180289,1.9186152090597108,16,7,5
