NOC,Year,M,P,A,Rank,Country,Gold,Silver,Bronze,Total,Host,Gold_Ratio,Pre_Host,Post_Host,Host_Flag,Cumulative_Total,CMR,RPI,GCR,MCI,ECR,ME,RIR,GR,Degree Centrality,Betweenness Centrality,Closeness Centrality,predicted_NR,Predicted_CA,delta_GR
RSA,1908,4,24,14,14,South Africa,1,1,0,2,United Kingdom,0.5,0,0,0,2,0.0001199976000479,0.0062305295950155,0.5,73.0,0.1666666666666666,0.1428571428571428,0.0,1.0,1.5555555555555554,0.0629084967320261,0.8181818181818182,-0.7821370427570746,-1.2375439209272492,
SWE,1908,14,24,164,3,Sweden,8,6,11,25,United Kingdom,0.32,0,1,0,26,0.0015599688006239,0.0778816199376947,0.32,5.84,0.5833333333333334,0.1524390243902439,-0.8571428571428571,0.9891304347826086,2.0,0.1045751633986928,1.0,19.59979988168381,17.245912808275868,-0.010869565217391353
USA,1908,10,24,119,2,United States,23,12,12,47,United Kingdom,0.4893617021276595,1,0,0,346,0.0207595848083038,0.146417445482866,0.4893617021276595,3.106382978723404,0.4166666666666667,0.3949579831932773,1.0,1.0,2.0,0.0555555555555555,1.0,13.376583703638689,43.43237340780983,0.014427412082957614
ANZ,1912,4,17,25,12,Australasia,2,2,3,7,Sweden,0.2857142857142857,0,0,0,12,0.0007199856002879,0.022801302931596,0.2857142857142857,9.285714285714286,0.2352941176470588,0.28,0.0909090909090909,0.9473684210526316,1.8823529411764703,0.1509803921568627,0.9444444444444444,6.527611290232199,4.439178416260079,-0.05263157894736836
AUT,1912,12,17,85,17,Austria,0,2,2,4,Sweden,0.0,0,0,0,19,0.0011399772004559,0.013029315960912,0.0,16.25,0.7058823529411765,0.0470588235294117,-0.1052631578947368,0.9242424242424242,1.7647058823529411,0.0014705882352941,0.8947368421052632,21.345760401962508,0.8573059240154981,-0.0757575757575758
BEL,1912,9,17,36,13,Belgium,2,1,3,6,Sweden,0.3333333333333333,0,0,0,31,0.0018599628007439,0.019543973941368,0.3333333333333333,10.833333333333334,0.5294117647058824,0.1666666666666666,0.3,0.9861111111111112,1.8823529411764703,0.1509803921568627,0.9444444444444444,15.786344513053333,3.840226146622737,-0.01388888888888884
CAN,1912,7,17,37,9,Canada,3,2,3,8,Sweden,0.375,0,0,0,32,0.0019199616007679,0.0260586319218241,0.375,8.125,0.4117647058823529,0.2162162162162162,0.2857142857142857,1.0,1.6470588235294117,0.0732843137254901,0.85,12.139361721791149,5.629498837194406,0.0
DEN,1912,13,17,147,14,Denmark,1,6,5,12,Sweden,0.0833333333333333,0,0,0,29,0.0017399652006959,0.0390879478827361,0.0833333333333333,5.416666666666667,0.7647058823529411,0.0816326530612244,-0.125,0.9914163090128756,1.8823529411764703,0.1078431372549019,0.9444444444444444,24.489096002837112,10.197993097842684,-0.008583690987124415
FIN,1912,10,17,164,4,Finland,9,8,9,26,Sweden,0.3461538461538461,0,0,0,31,0.0018599628007439,0.0846905537459283,0.3461538461538461,2.5,0.5882352941176471,0.1585365853658536,-0.6923076923076923,0.9914163090128756,2.0,0.1544117647058823,1.0,19.784409477292225,21.252491152027297,-0.008583690987124415
FRA,1912,13,17,119,5,France,7,4,3,14,Sweden,0.5,0,0,0,148,0.0088798224035519,0.0456026058631921,0.5,4.642857142857143,0.7647058823529411,0.1176470588235294,0.25,0.9913793103448276,2.0,0.1911764705882352,1.0,24.349214665495268,13.060254439464398,-0.008620689655172376
GBR,1912,16,17,273,3,Great Britain,10,15,16,41,Sweden,0.2439024390243902,0,0,0,227,0.0136197276054478,0.1335504885993485,0.2439024390243902,1.5853658536585369,0.9411764705882352,0.1501831501831501,2.0,0.9631236442516268,2.0,0.1102941176470588,1.0,28.765322850849454,40.921362617016975,0.006333520794836622
GER,1912,14,17,185,6,Germany,5,13,7,25,Sweden,0.2,0,0,0,75,0.0044999100017999,0.0814332247557003,0.2,2.6,0.8235294117647058,0.1351351351351351,0.2,0.967948717948718,2.0,0.2205882352941176,1.0,26.876960683825533,23.59747147919304,-0.01853776853776845
GRE,1912,5,17,22,15,Greece,1,0,1,2,Sweden,0.5,0,0,0,55,0.0032999340013199,0.006514657980456,0.5,32.5,0.2941176470588235,0.0909090909090909,0.0,1.0,1.8823529411764703,0.1078431372549019,0.9444444444444444,5.606289366639138,-0.4472337549426681,0.0
HUN,1912,11,17,121,9,Hungary,3,2,3,8,Sweden,0.375,0,0,0,32,0.0019199616007679,0.0260586319218241,0.375,8.125,0.6470588235294118,0.0661157024793388,0.5,1.0,1.6470588235294117,0.0732843137254901,0.85,18.936965609464178,5.704253517021179,0.0
ITA,1912,8,17,66,11,Italy,3,1,2,6,Sweden,0.5,0,0,0,15,0.0008999820003599,0.019543973941368,0.5,10.833333333333334,0.4705882352941176,0.0909090909090909,0.2222222222222222,1.0,1.6470588235294117,0.0732843137254901,0.85,12.96254796343854,3.3324677394191,0.0
NED,1912,7,17,33,18,Netherlands,0,0,3,3,Sweden,0.0,0,0,0,10,0.0005999880002399,0.009771986970684,0.0,21.666666666666668,0.4117647058823529,0.0909090909090909,0.0588235294117647,1.0,1.7647058823529411,0.0014705882352941,0.8947368421052632,10.44250508370694,0.1919346837923776,0.0
NOR,1912,14,17,190,8,Norway,3,2,5,10,Sweden,0.3,0,0,0,25,0.0014999700005999,0.0325732899022801,0.3,6.5,0.8235294117647058,0.0526315789473684,0.0,0.988593155893536,1.6470588235294117,0.0732843137254901,0.85,26.110971846197756,7.878663331594262,-0.011406844106463976
RSA,1912,6,17,21,7,South Africa,4,2,0,6,Sweden,0.6666666666666666,0,0,0,8,0.0004799904001919,0.019543973941368,0.6666666666666666,10.833333333333334,0.3529411764705882,0.2857142857142857,-0.5,1.0,2.0,0.2573529411764705,1.0,11.694361768682892,1.5413056502692155,0.0
SWE,1912,16,17,434,2,Sweden,23,25,17,65,Sweden,0.3538461538461538,0,0,1,91,0.0054598908021839,0.2117263843648208,0.3538461538461538,1.0,0.9411764705882352,0.1497695852534562,-0.3333333333333333,0.9467787114845938,2.0,0.0588235294117647,1.0,32.22410928087089,62.70491909487762,-0.04235172329801484
USA,1912,11,17,172,1,United States,26,19,19,64,Sweden,0.40625,0,0,0,410,0.0245995080098398,0.2084690553745928,0.40625,1.015625,0.6470588235294118,0.3720930232558139,-0.5,1.0,2.0,0.0,1.0,23.932757742148578,76.84055062869322,0.0
AUS,1920,5,25,13,16,Australia,0,2,1,3,Belgium,0.0,0,0,0,14,0.0008399832003359,0.0068493150684931,0.0,31.666666666666668,0.2,0.2307692307692307,0.3333333333333333,0.896551724137931,1.4285714285714284,0.000595238095238,0.7777777777777778,3.1344455531536326,0.7605803401090157,-0.10344827586206895
BEL,1920,23,25,336,5,Belgium,14,11,11,36,Belgium,0.3888888888888889,0,0,1,67,0.0040199196016079,0.0821917808219178,0.3888888888888889,2.638888888888889,0.92,0.1071428571428571,-0.6153846153846154,0.9652509652509652,1.9047619047619049,0.0833333333333333,0.9545454545454546,31.3334071721015,29.94233058145401,-0.02086014586014595
BRA,1920,5,25,19,15,Brazil,1,1,1,3,Belgium,0.3333333333333333,0,0,0,3,0.0001799964000719,0.0068493150684931,0.3333333333333333,31.666666666666668,0.2,0.1578947368421052,0.0,1.0,1.9047619047619049,0.1944444444444444,0.9545454545454546,2.878331368512998,0.9544288200626592,
CAN,1920,9,25,52,12,Canada,3,3,3,9,Belgium,0.3333333333333333,0,0,0,41,0.0024599508009839,0.0205479452054794,0.3333333333333333,10.555555555555555,0.36,0.173076923076923,0.3333333333333333,1.0,1.809523809523809,0.1071428571428571,0.9130434782608696,9.5905478339799,7.011910347799065,0.0
DEN,1920,14,25,151,10,Denmark,3,9,1,13,Belgium,0.2307692307692307,0,0,0,42,0.0025199496010079,0.0296803652968036,0.2307692307692307,7.3076923076923075,0.56,0.086092715231788,-0.2857142857142857,0.9715447154471544,1.809523809523809,0.1071428571428571,0.9130434782608696,17.14149751195323,10.049518001391167,-0.019871593565721213
ESP,1920,7,25,58,17,Spain,0,2,0,2,Belgium,0.0,0,0,0,3,0.0001799964000719,0.0045662100456621,0.0,47.5,0.28,0.0344827586206896,0.2142857142857142,1.0,1.4285714285714284,0.000595238095238,0.7777777777777778,3.366627246975439,-0.0605545730726551,0.0
EST,1920,3,25,14,14,Estonia,1,2,0,3,Belgium,0.3333333333333333,0,0,0,3,0.0001799964000719,0.0068493150684931,0.3333333333333333,31.666666666666668,0.12,0.2142857142857142,0.0,1.0,1.9047619047619049,0.1944444444444444,0.9545454545454546,0.5148760047346066,1.7807195702284822,
FIN,1920,9,25,63,3,Finland,15,10,9,34,Belgium,0.4411764705882353,0,0,0,65,0.0038999220015599,0.0776255707762557,0.4411764705882353,2.794117647058824,0.36,0.5396825396825397,-0.25,0.9926470588235294,2.0,0.092063492063492,1.0,14.63051688126743,32.165334562212735,0.0012307498106538528
FRA,1920,23,25,304,8,France,9,19,13,41,Belgium,0.2195121951219512,0,1,0,189,0.0113397732045359,0.093607305936073,0.2195121951219512,2.317073170731707,0.92,0.1348684210526315,0.6,0.9668141592920354,2.0,0.2333333333333333,1.0,29.848082179944985,35.908817205383215,-0.024565151052792222
GBR,1920,21,25,234,4,Great Britain,14,15,13,42,Belgium,0.3333333333333333,0,0,0,269,0.0161396772064558,0.0958904109589041,0.3333333333333333,2.261904761904762,0.84,0.1794871794871795,0.3333333333333333,0.910144927536232,1.9047619047619049,0.0833333333333333,0.9545454545454546,27.759208726192128,39.136094932859095,-0.05297871671539478
GRE,1920,8,25,47,19,Greece,0,1,0,1,Belgium,0.0,0,0,0,56,0.0033599328013439,0.002283105022831,0.0,95.0,0.32,0.0212765957446808,0.2666666666666666,1.0,1.4285714285714284,0.000595238095238,0.7777777777777778,2.0033790110171035,0.1186842688075786,0.0
ITA,1920,18,25,173,7,Italy,13,5,5,23,Belgium,0.5652173913043478,0,0,0,38,0.0022799544009119,0.0525114155251141,0.5652173913043478,4.130434782608695,0.72,0.1329479768786127,-0.3636363636363636,0.993127147766323,1.9047619047619049,0.1206349206349206,0.9545454545454546,23.79297006975724,20.24884795744186,-0.0068728522336769515
JPN,1920,4,25,15,17,Japan,0,2,0,2,Belgium,0.0,0,0,0,2,0.0001199976000479,0.0045662100456621,0.0,47.5,0.16,0.1333333333333333,0.0,1.0,1.4285714285714284,0.000595238095238,0.7777777777777778,0.2825708191155243,-0.0565832956304481,
LUX,1920,6,25,25,19,Luxembourg,0,1,0,1,Belgium,0.0,0,0,0,2,0.0001199976000479,0.002283105022831,0.0,95.0,0.24,0.04,0.3571428571428571,1.0,1.4285714285714284,0.000595238095238,0.7777777777777778,-0.8788105654690259,-1.475272481225737,0.0
NED,1920,15,25,130,9,Netherlands,4,2,5,11,Belgium,0.3636363636363636,0,0,0,21,0.0012599748005039,0.0251141552511415,0.3636363636363636,8.636363636363637,0.6,0.0846153846153846,-0.5,0.9953051643192488,2.0,0.2547619047619048,1.0,18.83855095774344,10.26325116424954,-0.0046948356807512415
NOR,1920,16,25,193,6,Norway,13,9,9,31,Belgium,0.4193548387096774,0,0,0,56,0.0033599328013439,0.0707762557077625,0.4193548387096774,3.064516129032258,0.64,0.160621761658031,-0.25,0.9775280898876404,1.9047619047619049,0.1206349206349206,0.9545454545454546,21.027203868785023,27.20544967787482,-0.01106506600589563
NZL,1920,3,25,4,22,New Zealand,0,0,1,1,Belgium,0.0,0,0,0,1,5.999880002399952e-05,0.002283105022831,0.0,95.0,0.12,0.25,0.0,0.6666666666666666,1.4285714285714284,0.000595238095238,0.7777777777777778,-2.61468106645284,-0.7536937362622395,
