NOC,Year,M,P,A,Rank,Country,Gold,Silver,Bronze,Total,Host,Gold_Ratio,Pre_Host,Post_Host,Host_Flag,Cumulative_Total,CMR,RPI,GCR,MCI,ECR,ME,RIR,GR,Degree Centrality,Betweenness Centrality,Closeness Centrality,predicted_NR,Predicted_CA,delta_GR,T_c,S_c,Coach_Effect
AUS,1900,2,20,2,9,Australia,2,0,3,5,France,0.4,0,0,0,7,0.0004199916001679,0.0188679245283018,0.4,20.6,0.3563769295951812,6.131240740740741,0.125,1.0,2.0,0.2639097744360902,1.0,23.611755730827653,-1.851005492263826,0.0,20.51851851851852,0.5399999999999998,14.524962962962963
AUT,1900,4,20,16,16,Austria,0,3,3,6,France,0.0,0,0,0,11,0.0006599868002639,0.0226415094339622,0.0,17.166666666666668,0.1078116967705935,0.4417860576923077,1.2857142857142858,1.0,1.5,0.0112781954887218,0.8,4.01127120899864,1.3874560239594231,0.0,3.769230769230769,-2.858333333333334,1.7809615384615383
BEL,1900,10,20,64,5,Belgium,6,7,4,17,France,0.3529411764705882,0,0,0,17,0.0010199796004079,0.0641509433962264,0.3529411764705882,6.0588235294117645,0.9571601362704784,0.35914794921875,0.0,1.0,1.9,0.1052631578947368,0.9523809523809524,16.423034641970546,7.0704375557895744,0.0,6.0,-2.2637867647058822,3.5208639705882345
BOH,1900,4,20,7,20,Bohemia,0,1,1,2,France,0.0,0,0,0,2,0.0001199976000479,0.0075471698113207,0.0,51.5,-0.1298590416260244,0.24159183673469387,0.0,0.7777777777777778,1.5,0.0112781954887218,0.8,3.092602330728293,-2.7862973246840683,0.0,2.0,-9.814285714285715,-1.5442857142857145
CAN,1900,1,20,4,13,Canada,1,0,1,2,France,0.5,0,0,0,2,0.0001199976000479,0.0075471698113207,0.5,51.5,-0.009963971756496898,0.8974027777777778,0.0,1.0,1.5,0.0537593984962406,0.8,-0.2273248902718521,-3.902067098752028,0.0,12.222222222222221,-2.0250000000000004,7.948055555555554
CUB,1900,1,20,1,12,Cuba,1,1,0,2,France,0.5,0,0,0,2,0.0001199976000479,0.0075471698113207,0.5,51.5,0.13838614643871122,3.97225,0.0,1.0,1.5,0.0537593984962406,0.8,15.132297026529889,-4.619889729377912,0.0,14.3125,-0.5250000000000004,9.861249999999998
DEN,1900,5,20,13,10,Denmark,1,3,2,6,France,0.1666666666666666,0,0,0,12,0.0007199856002879,0.0226415094339622,0.1666666666666666,17.166666666666668,0.37199374564126014,0.6485059171597632,0.1111111111111111,1.0,1.5,0.0537593984962406,0.8,8.462483245324188,-0.2777848373211391,0.0,7.321428571428571,-3.5801282051282053,4.050961538461538
ESP,1900,4,20,9,14,Spain,1,0,0,1,France,1.0,0,0,0,1,5.999880002399952e-05,0.0037735849056603,1.0,103.0,0.004158930555737633,0.10959259259259257,0.0,1.0,1.5,0.0537593984962406,0.8,-1.5374903456041151,-4.372398938152988,,8.5,-20.28888888888889,-0.1366666666666676
FRA,1900,19,20,715,1,France,27,39,37,103,France,0.2621359223300971,0,0,1,114,0.0068398632027359,0.3886792452830189,0.2621359223300971,1.0,3.947769891612949,0.41729196301648663,-0.75,0.985060690943044,2.0,0.0,1.0,33.10259315572295,124.69406331439056,-0.0149393090569559,27.03448275862069,0.144055944055944,18.967354714251268
GBR,1900,16,20,104,3,Great Britain,15,7,9,31,France,0.4838709677419355,0,0,0,38,0.0022799544009119,0.1169811320754717,0.4838709677419355,3.3225806451612905,3.0274993811115785,0.7475326690862805,-0.4,0.9863013698630136,2.0,0.0947368421052631,1.0,28.52278345721914,22.016105459958577,-0.0136986301369863,22.209302325581394,-1.5599875930521094,15.078515349991342
GER,1900,10,20,76,7,Germany,4,3,2,9,France,0.4444444444444444,0,0,0,22,0.0013199736005279,0.0339622641509433,0.4444444444444444,11.444444444444445,1.7606280337004057,0.42552906550431785,1.3333333333333333,1.0,2.0,0.2236842105263158,1.0,12.658070717408282,2.0841335238937404,0.0,39.23529411764706,-5.103801169590644,25.933565531475743
HUN,1900,4,20,18,11,Hungary,1,2,2,5,France,0.2,0,0,0,11,0.0006599868002639,0.0188679245283018,0.2,20.6,0.33141552147841036,0.6154300411522634,0.8333333333333334,1.0,1.5,0.0537593984962406,0.8,3.491398934850265,-1.3447400931390892,0.0,18.925925925925927,-3.6422222222222227,12.155481481481482
IND,1900,1,20,1,19,India,0,2,0,2,France,0.0,0,0,0,2,0.0001199976000479,0.0075471698113207,0.0,51.5,0.04886337650960272,2.2190263157894736,0.0,1.0,1.5,0.0112781954887218,0.8,15.132297026529889,-3.56753810609451,,1.7894736842105263,-0.5250000000000004,1.0951315789473681
ITA,1900,6,20,23,8,Italy,3,2,0,5,France,0.6,0,0,0,5,0.0002999940001199,0.0188679245283018,0.6,20.6,0.7513250391781636,0.5315884618077432,0.0,0.9722222222222222,2.0,0.2394736842105263,1.0,7.774418278498426,-2.8484734300764423,,23.074074074074073,-5.662608695652174,14.453069243156197
LUX,1900,1,20,1,14,Luxembourg,1,0,0,1,France,1.0,0,0,0,1,5.999880002399952e-05,0.0037735849056603,1.0,103.0,-0.0057519428877518325,0.947,0.0,1.0,1.5,0.0537593984962406,0.8,2.05034890391504,-4.3294799403073485,,1.0,-4.1000000000000005,-0.5300000000000002
NED,1900,7,20,35,17,Netherlands,0,2,3,5,France,0.0,0,0,0,5,0.0002999940001199,0.0188679245283018,0.0,20.6,0.6742297020599592,0.2375309262166404,0.0,1.0,1.5,0.0112781954887218,0.8,8.849260226043397,-0.1660533438352187,,12.346153846153847,-6.717142857142857,6.627164835164836
NOR,1900,2,20,7,17,Norway,0,2,3,5,France,0.0,0,0,0,5,0.0002999940001199,0.0188679245283018,0.0,20.6,0.11966353646097708,1.0135918367346939,0.0,1.0,1.5,0.0112781954887218,0.8,5.510279893443405,0.2681285203370374,,6.52,-1.245714285714286,4.1902857142857135
SUI,1900,4,20,18,6,Switzerland,6,2,1,9,France,0.6666666666666666,0,0,0,12,0.0007199856002879,0.0339622641509433,0.6666666666666666,11.444444444444445,0.3174772975887325,0.7406111111111111,-0.4,0.9423076923076924,1.9,0.1052631578947368,0.9523809523809524,8.08555688934585,0.3778720559605677,-0.0576923076923076,7.555555555555555,-1.588888888888889,4.812222222222222
SWE,1900,4,20,10,21,Sweden,0,0,1,1,France,0.0,0,0,0,1,5.999880002399952e-05,0.0037735849056603,0.0,103.0,,0.17054444444444444,0.0,1.0,1.5,0.0112781954887218,0.8,-1.6512653227656096,-3.963102867983144,,18.77777777777778,-20.3,7.054444444444444
USA,1900,10,20,75,2,United States,19,14,15,48,France,0.3958333333333333,0,1,0,68,0.0040799184016319,0.1811320754716981,0.3958333333333333,2.145833333333333,2.4047832936704947,4.73817075862069,1.0,0.9333333333333332,2.0,0.0499999999999999,1.0,19.002184968548576,33.093153967363506,-0.0666666666666667,91.44827586206897,0.0670833333333335,64.03391810344827
AUS,1904,2,18,2,12,Australia,0,3,1,4,United States,0.0,0,0,0,11,0.0006599868002639,0.0144927536231884,0.0,57.75,0.3465610373139595,4.61425925925926,0.3333333333333333,1.0,1.8333333333333333,0.0181818181818181,0.9230769230769232,16.54377674670851,-0.3858881848061122,0.0,20.51851851851852,-4.305555555555555,13.071296296296296
AUT,1904,2,18,2,8,Austria,1,1,1,3,United States,0.3333333333333333,0,0,0,14,0.0008399832003359,0.0108695652173913,0.3333333333333333,77.0,0.055183853290642695,1.5832692307692309,-0.5,1.0,1.5,0.0553030303030303,0.8,11.586782641618507,-1.5373864429363628,0.0,3.769230769230769,-6.944444444444445,0.5551282051282049
CAN,1904,6,18,55,3,Canada,4,1,1,6,United States,0.6666666666666666,0,0,0,8,0.0004799904001919,0.0217391304347826,0.6666666666666666,38.5,0.5288631643743766,0.1618721763085398,-0.7692307692307693,1.0,1.8333333333333333,0.0505050505050504,0.9230769230769232,8.03395188657819,0.2179734856952357,0.0,12.222222222222221,-12.39090909090909,4.838282828282827
CUB,1904,2,18,3,4,Cuba,3,0,0,3,United States,1.0,0,0,0,5,0.0002999940001199,0.0108695652173913,1.0,77.0,0.2031844716790728,1.7785416666666665,-0.6666666666666666,1.0,2.0,0.2287878787878787,1.0,6.711959801730581,-1.6297849726297855,0.0,14.3125,-7.444444444444445,7.7854166666666655
FRA,1904,1,18,1,13,France,0,1,0,1,United States,0.0,1,0,0,115,0.0068998620027599,0.0036231884057971,0.0,231.0,,2.5390804597701155,12.0,1.0,1.8333333333333333,0.0181818181818181,0.9230769230769232,-22.45321369959347,-1.8290257692590943,0.0149393090569559,27.03448275862069,-11.777777777777764,15.390804597701154
GBR,1904,3,18,6,9,Great Britain,1,1,0,2,United States,0.5,0,0,0,40,0.0023999520009599,0.0072463768115942,0.5,115.5,,0.6640503875968992,2.0,1.0,1.5,0.0553030303030303,0.8,-4.117827452726029,-1.7615453224304845,0.0136986301369863,22.209302325581394,-18.749999999999993,9.921511627906977
GER,1904,9,18,22,2,Germany,4,5,6,15,United States,0.2666666666666666,0,0,0,37,0.0022199556008879,0.0543478260869565,0.2666666666666666,15.4,2.004839853666813,2.42108531842489,-0.7142857142857143,1.0,1.8333333333333333,0.0505050505050504,0.9230769230769232,21.21944291455444,-26.190974315506057,0.0,39.23529411764706,-6.5181818181818185,25.50925133689839
GRE,1904,3,18,14,11,Greece,1,0,1,2,United States,0.5,0,0,0,49,0.0029399412011759,0.0072463768115942,0.5,115.5,0.1369001607601737,0.12418367346938773,4.5,1.0,1.5,0.0553030303030303,0.8,-9.74402261832716,-1.4083494602168014,0.0,6.25,-18.940476190476183,-1.3071428571428543
HUN,1904,2,18,4,5,Hungary,2,1,1,4,United States,0.5,0,0,0,15,0.0008999820003599,0.0144927536231884,0.5,57.75,0.25421310873060066,2.165648148148148,-0.5454545454545454,1.0,1.6666666666666663,0.109090909090909,0.8571428571428571,7.596116591083157,-0.4258747693314042,0.0,18.925925925925927,-5.305555555555555,11.656481481481482
NOR,1904,2,18,3,7,Norway,2,0,0,2,United States,1.0,0,0,0,7,0.0004199916001679,0.0072463768115942,1.0,115.5,0.010619164031644836,0.7298222222222222,-0.5882352941176471,1.0,1.6666666666666663,0.109090909090909,0.8571428571428571,1.0586407175038266,-2.238109444836738,0.0,6.52,-12.055555555555555,0.9473333333333329
SUI,1904,2,18,3,10,Switzerland,1,0,2,3,United States,0.3333333333333333,0,0,0,15,0.0008999820003599,0.0108695652173913,0.3333333333333333,77.0,0.09964978137618079,1.3055555555555556,0.6666666666666666,1.0,1.5,0.0553030303030303,0.8,4.75155074269602,-1.2701908774502515,0.0576923076923076,7.555555555555555,-7.444444444444445,3.0555555555555554
USA,1904,18,18,518,1,United States,76,78,77,231,United States,0.329004329004329,0,0,1,299,0.0179396412071758,0.8369565217391305,0.329004329004329,1.0,5.491445567484147,3.3065811314576457,-0.5,0.9855725879170424,2.0,0.0,1.0,37.66434695794943,292.51338850078787,0.0522392545837091,91.44827586206897,0.4459459459459459,64.14757688723206
ANZ,1908,6,24,30,11,Australasia,1,2,2,5,United Kingdom,0.2,0,0,0,5,0.0002999940001199,0.0155763239875389,0.2,29.2,0.18009197252435394,0.20224999999999993,0.0,1.0,1.5555555555555554,0.0629084967320261,0.8181818181818182,4.9423379640357865,1.254475376209113,,6.0,-6.883333333333333,2.1349999999999993
AUT,1908,4,24,7,19,Austria,0,0,1,1,United Kingdom,0.0,0,0,0,15,0.0008999820003599,0.0031152647975077,0.0,146.0,0.23603936237763595,0.07759026687598117,1.375,1.0,1.5555555555555554,0.0093370681605975,0.8181818181818182,-6.832558651874152,-2.1239825359702023,0.0,3.769230769230769,-24.023809523809515,-4.568681318681316
BEL,1908,11,24,70,10,Belgium,1,5,2,8,United Kingdom,0.125,0,0,0,25,0.0014999700005999,0.0249221183800623,0.125,18.25,0.5164292026450719,0.1355704081632652,1.0,1.0,1.5555555555555554,0.0629084967320261,0.8181818181818182,11.198529945610728,4.793221112172296,0.0,6.0,-7.791964285714286,1.8624107142857134
BOH,1908,5,24,19,17,Bohemia,0,0,2,2,United Kingdom,0.0,0,0,0,4,0.0002399952000959,0.0062305295950155,0.0,73.0,-0.04123062037359078,0.07296398891966757,-0.15,1.0,1.5555555555555554,0.0093370681605975,0.8181818181818182,0.5851668581943217,-1.6128937525700375,0.2222222222222222,2.0,-14.89473684210526,-3.0684210526315776
CAN,1908,11,24,87,7,Canada,3,3,10,16,United Kingdom,0.1875,0,0,0,24,0.0014399712005759,0.0498442367601246,0.1875,9.125,1.0524087152433428,0.3217202844937684,1.3333333333333333,1.0,1.7777777777777777,0.0792483660130718,0.9,11.924936529555207,13.0371146571429,0.0,12.222222222222221,-3.5400502873563218,7.493540469348657
DEN,1908,8,24,78,16,Denmark,0,2,3,5,United Kingdom,0.0,0,0,0,17,0.0010199796004079,0.0155763239875389,0.0,29.2,0.29342814127094685,0.07900147928994082,0.6,1.0,1.5555555555555554,0.0093370681605975,0.8181818181818182,6.073344953167771,1.4854360424726585,0.0,7.321428571428571,-9.335897435897435,2.324230769230769
FIN,1908,6,24,62,13,Finland,1,1,3,5,United Kingdom,0.2,0,0,0,5,0.0002999940001199,0.0155763239875389,0.2,29.2,0.32078614128422744,0.13242898022892804,0.0,1.0,1.5555555555555554,0.0629084967320261,0.8181818181818182,4.061499431172604,1.6342387971718546,,12.16,-6.969354838709678,6.421193548387095
FRA,1908,13,24,208,4,France,5,5,9,19,United Kingdom,0.2631578947368421,0,0,0,134,0.0080398392032159,0.0591900311526479,0.2631578947368421,7.684210526315789,1.8695484589565927,0.2545393239262394,-0.6923076923076923,1.0,2.0,0.1470588235294117,1.0,17.098376269774057,17.232589964952666,0.0,27.03448275862069,-3.5292678812415654,17.865357566662013
GBR,1908,24,24,732,1,Great Britain,56,51,39,146,United Kingdom,0.3835616438356164,0,0,0,186,0.0111597768044639,0.454828660436137,0.3835616438356164,1.0,4.038366013610071,0.5107276998972935,-0.8888888888888888,0.9567901234567902,2.0,0.0,1.0,35.71211294835451,156.70045285563157,-0.0432098765432098,22.209302325581394,0.1994535519125683,15.606347693480746
GER,1908,12,24,82,5,Germany,3,5,5,13,United Kingdom,0.2307692307692307,0,0,0,50,0.0029999400011999,0.0404984423676012,0.2307692307692307,11.23076923076923,1.7682112651824742,0.5703774014067254,1.5,0.9864864864864864,1.7777777777777777,0.0792483660130718,0.9,12.835584912002428,8.506865809063521,-0.0135135135135135,39.23529411764706,-4.956848030018762,25.977651473347308
GRE,1908,3,24,20,15,Greece,0,3,1,4,United Kingdom,0.0,0,0,0,53,0.0031799364012719,0.0124610591900311,0.0,36.5,-0.010054202824083855,0.262075,0.3636363636363636,1.0,1.5555555555555554,0.0093370681605975,0.8181818181818182,-0.2490015334458272,1.2233857891838067,0.0,6.25,-4.2375,3.10375
HUN,1908,8,24,65,6,Hungary,3,4,2,9,United Kingdom,0.3333333333333333,0,0,0,24,0.0014399712005759,0.02803738317757,0.3333333333333333,16.22222222222222,0.7862482400274997,0.3013956607495068,0.2,1.0,1.7777777777777777,0.0792483660130718,0.9,8.139107006525949,5.132088597860767,0.0,18.925925925925927,-4.935612535612535,11.767464387464388
ITA,1908,8,24,66,9,Italy,2,2,0,4,United Kingdom,0.5,0,0,0,9,0.0005399892002159,0.0124610591900311,0.5,36.5,0.7321245925283497,0.13709111315171918,0.125,1.0,1.8888888888888888,0.1716464363523187,0.9473684210526316,6.333062389258685,0.4800677553253898,0.0277777777777777,23.074074074074073,-11.772727272727272,12.620033670033667
NED,1908,11,24,113,17,Netherlands,0,0,2,2,United Kingdom,0.0,0,0,0,7,0.0004199916001679,0.0062305295950155,0.0,73.0,,0.015482508720037032,0.0,1.0,1.5555555555555554,0.0093370681605975,0.8181818181818182,8.6582519835935,-1.2051208799862367,0.0,12.346153846153847,-32.982300884955755,-1.252382573179034
NOR,1908,7,24,69,8,Norway,2,3,3,8,United Kingdom,0.25,0,0,0,15,0.0008999820003599,0.0249221183800623,0.25,18.25,0.3166551042311071,0.15176124763705098,0.1428571428571428,1.0,1.8888888888888888,0.1716464363523187,0.9473684210526316,6.348909908952993,4.079478781744781,0.0,6.52,-4.915307971014493,3.0894076086956512
RSA,1908,4,24,14,14,South Africa,1,1,0,2,United Kingdom,0.5,0,0,0,2,0.0001199976000479,0.0062305295950155,0.5,73.0,0.0021714637850795454,0.1404618689581095,0.0,1.0,1.5555555555555554,0.0629084967320261,0.8181818181818182,-0.7821370427570746,-1.2375439209272492,,4.842105263157895,-11.857142857142852,-0.1676691729323294
SWE,1908,14,24,164,3,Sweden,8,6,11,25,United Kingdom,0.32,0,1,0,26,0.0015599688006239,0.0778816199376947,0.32,5.84,1.8821492073355082,0.34059719743538897,-0.8571428571428571,0.9891304347826086,2.0,0.1045751633986928,1.0,19.59979988168381,17.245912808275868,-0.0108695652173913,18.77777777777778,-2.6708943089430894,12.343176151761517
USA,1908,10,24,119,2,United States,23,12,12,47,United Kingdom,0.4893617021276595,1,0,0,346,0.0207595848083038,0.146417445482866,0.4893617021276595,3.106382978723404,1.858079703742208,2.9175144398530204,1.0,1.0,2.0,0.0555555555555555,1.0,13.376583703638689,43.43237340780983,0.0144274120829576,91.44827586206897,-0.4827015912748078,63.868982626065836
ANZ,1912,4,17,25,12,Australasia,2,2,3,7,Sweden,0.2857142857142857,0,0,0,12,0.0007199856002879,0.022801302931596,0.2857142857142857,9.285714285714286,0.2889585267324855,0.3835755294117647,0.0909090909090909,0.9473684210526316,1.8823529411764703,0.1509803921568627,0.9444444444444444,6.527611290232199,4.439178416260079,-0.0526315789473683,6.0,-1.669579831932773,3.6991260504201673
AUT,1912,12,17,85,17,Austria,0,2,2,4,Sweden,0.0,0,0,0,19,0.0011399772004559,0.013029315960912,0.0,16.25,,0.04434431727442102,-0.1052631578947368,0.9242424242424242,1.7647058823529411,0.0014705882352941,0.8947368421052632,21.345760401962508,0.8573059240154981,-0.0757575757575758,3.769230769230769,-10.71764705882353,-0.5768325791855204
BEL,1912,9,17,36,13,Belgium,2,1,3,6,Sweden,0.3333333333333333,0,0,0,31,0.0018599628007439,0.019543973941368,0.3333333333333333,10.833333333333334,0.8772539008304542,0.21147058823529402,0.3,0.9861111111111112,1.8823529411764703,0.1509803921568627,0.9444444444444444,15.786344513053333,3.840226146622737,-0.0138888888888888,6.0,-5.03921568627451,2.6882352941176464
CAN,1912,7,17,37,9,Canada,3,2,3,8,Sweden,0.375,0,0,0,32,0.0019199616007679,0.0260586319218241,0.375,8.125,0.9641224125255379,0.3835734780885814,0.2857142857142857,1.0,1.6470588235294117,0.0732843137254901,0.85,12.139361721791149,5.629498837194406,0.0,12.222222222222221,-2.7176073131955483,7.7402733615968895
DEN,1912,13,17,147,14,Denmark,1,6,5,12,Sweden,0.0833333333333333,0,0,0,29,0.0017399652006959,0.0390879478827361,0.0833333333333333,5.416666666666667,1.842621889238831,0.11539799593306697,-0.125,0.9914163090128756,1.8823529411764703,0.1078431372549019,0.9444444444444444,24.489096002837112,10.197993097842684,-0.0085836909871244,7.321428571428571,-3.2958183273309323,4.136254501800719
FIN,1912,10,17,164,4,Finland,9,8,9,26,Sweden,0.3461538461538461,0,0,0,31,0.0018599628007439,0.0846905537459283,0.3461538461538461,2.5,1.68064432587771,0.29004038562480305,-0.6923076923076923,0.9914163090128756,2.0,0.1544117647058823,1.0,19.784409477292225,21.252491152027297,-0.0085836909871244,12.16,-0.723816355810617,8.294855093256814
FRA,1912,13,17,119,5,France,7,4,3,14,Sweden,0.5,0,0,0,148,0.0088798224035519,0.0456026058631921,0.5,4.642857142857143,2.913180273373002,0.33086726779961473,0.25,0.9913793103448276,2.0,0.1911764705882352,1.0,24.349214665495268,13.060254439464398,-0.0086206896551723,27.03448275862069,-2.6680672268907566,18.123717762967257
GBR,1912,16,17,273,3,Great Britain,10,15,16,41,Sweden,0.2439024390243902,0,0,0,227,0.0136197276054478,0.1335504885993485,0.2439024390243902,1.5853658536585369,3.590535460353233,0.3818599849462282,2.0,0.9631236442516268,2.0,0.1102941176470588,1.0,28.76532285084945,40.921362617016975,0.0063335207948366,22.209302325581394,-0.400749417966061,15.426286802517156
GER,1912,14,17,185,6,Germany,5,13,7,25,Sweden,0.2,0,0,0,75,0.0044999100017999,0.0814332247557003,0.2,2.6,3.543001620163264,0.5014858419627893,0.2,0.967948717948718,2.0,0.2205882352941176,1.0,26.876960683825533,23.59747147919304,-0.0185377685377684,39.23529411764706,-1.1825119236883943,27.10995230524642
GRE,1912,5,17,22,15,Greece,1,0,1,2,Sweden,0.5,0,0,0,55,0.0032999340013199,0.006514657980456,0.5,32.5,0.190297197399159,0.1056623723869713,0.0,1.0,1.8823529411764703,0.1078431372549019,0.9444444444444444,5.606289366639138,-0.4472337549426681,0.0,6.25,-9.173796791443849,1.6228609625668455
HUN,1912,11,17,121,9,Hungary,3,2,3,8,Sweden,0.375,0,0,0,32,0.0019199616007679,0.0260586319218241,0.375,8.125,2.042940736333891,0.14469351817254755,0.5,1.0,1.6470588235294117,0.0732843137254901,0.85,18.936965609464178,5.704253517021179,0.0,18.925925925925927,-4.54417841516772,11.884894623597832
ITA,1912,8,17,66,11,Italy,3,1,2,6,Sweden,0.5,0,0,0,15,0.0008999820003599,0.019543973941368,0.5,10.833333333333334,1.4138038766498626,0.22537172077279027,0.2222222222222222,1.0,1.6470588235294117,0.0732843137254901,0.85,12.96254796343854,3.3324677394191,0.0,23.074074074074073,-4.536541889483066,14.790889285006928
NED,1912,7,17,33,18,Netherlands,0,0,3,3,Sweden,0.0,0,0,0,10,0.0005999880002399,0.009771986970684,0.0,21.666666666666668,0.8234317420940375,0.1465149022100894,0.0588235294117647,1.0,1.7647058823529411,0.0014705882352941,0.8947368421052632,10.44250508370694,0.1919346837923776,0.0,12.346153846153847,-8.418894830659536,6.116639243109832
NOR,1912,14,17,190,8,Norway,3,2,5,10,Sweden,0.3,0,0,0,25,0.0014999700005999,0.0325732899022801,0.3,6.5,1.8461882876935571,0.06958403128564442,0.0,0.988593155893536,1.6470588235294117,0.0732843137254901,0.85,26.11097184619776,7.878663331594262,-0.0114068441064639,6.52,-4.476780185758514,3.2209659442724448
RSA,1912,6,17,21,7,South Africa,4,2,0,6,Sweden,0.6666666666666666,0,0,0,8,0.0004799904001919,0.019543973941368,0.6666666666666666,10.833333333333334,0.47546228192975626,0.35525747140961644,-0.5,1.0,2.0,0.2573529411764705,1.0,11.694361768682892,1.5413056502692155,0.0,4.842105263157895,-3.184873949579832,2.4340114993365765
SWE,1912,16,17,434,2,Sweden,23,25,17,65,Sweden,0.3538461538461538,0,0,1,91,0.0054598908021839,0.2117263843648208,0.3538461538461538,1.0,3.5508681637655384,0.3473063123966201,-0.3333333333333333,0.9467787114845938,2.0,0.0588235294117647,1.0,32.22410928087089,62.70491909487762,-0.0423517232980148,18.77777777777778,0.1497695852534562,13.189375320020481
USA,1912,11,17,172,1,United States,26,19,19,64,Sweden,0.40625,0,0,0,410,0.0245995080098398,0.2084690553745928,0.40625,1.015625,3.2611452314486344,2.75804234129078,-0.5,1.0,2.0,0.0,1.0,23.932757742148578,76.84055062869322,0.0,91.44827586206897,0.3619827291381668,64.12238792218973
AUS,1920,5,25,13,16,Australia,0,2,1,3,Belgium,0.0,0,0,0,14,0.0008399832003359,0.0068493150684931,0.0,31.666666666666668,0.3197544295630711,0.5213583168967784,0.3333333333333333,0.896551724137931,1.4285714285714284,0.000595238095238,0.7777777777777778,3.1344455531536326,0.7605803401090157,-0.1034482758620689,20.51851851851852,-5.902564102564103,12.592193732193731
BEL,1920,23,25,336,5,Belgium,14,11,11,36,Belgium,0.3888888888888889,0,0,1,67,0.0040199196016079,0.0821917808219178,0.3888888888888889,2.638888888888889,2.3486058824877585,0.14764081632653053,-0.6153846153846154,0.9652509652509652,1.9047619047619049,0.0833333333333333,0.9545454545454546,31.3334071721015,29.94233058145401,-0.0208601458601459,6.0,-1.400634920634921,3.779809523809523
BRA,1920,5,25,19,15,Brazil,1,1,1,3,Belgium,0.3333333333333333,0,0,0,3,0.0001799964000719,0.0068493150684931,0.3333333333333333,31.666666666666668,0.13713094019017869,0.21193213296398883,0.0,1.0,1.9047619047619049,0.1944444444444444,0.9545454545454546,2.878331368512998,0.9544288200626592,,7.45,-5.975438596491228,3.4223684210526315
