NOC,Year,M,P,A,Rank,Country,Gold,Silver,Bronze,Total,Host,Gold_Ratio,Pre_Host,Post_Host,Host_Flag,Cumulative_Total,CMR,RPI,GCR,MCI,ECR,ME,RIR,GR,Degree Centrality,Betweenness Centrality,Closeness Centrality,predicted_NR,Predicted_CA,delta_GR,T_c,S_c,Coach_Effect,EI,ESP,ECR_Large,ECR_Small
NED,1900,7,20,35,17,Netherlands,0,2,3,5,France,0.0,0,0,0,5,0.0002999940001199,0.0188679245283018,0.0,20.6,0.6742297020599592,0.2375309262166404,0.0,1.0,1.5,0.0112781954887218,0.8,8.849260226043397,-0.1660533438352187,,12.346153846153848,-6.717142857142857,6.627164835164836,0.0,0.0571428571428571,0.2,0.1333333333333333
NOR,1900,2,20,7,17,Norway,0,2,3,5,France,0.0,0,0,0,5,0.0002999940001199,0.0188679245283018,0.0,20.6,0.119663536460977,1.013591836734694,0.0,1.0,1.5,0.0112781954887218,0.8,5.510279893443405,0.2681285203370374,,6.52,-1.245714285714286,4.1902857142857135,0.0,0.1428571428571428,0.1,0.1
SUI,1900,4,20,18,6,Switzerland,6,2,1,9,France,0.6666666666666666,0,0,0,12,0.0007199856002879,0.0339622641509433,0.6666666666666666,11.444444444444445,0.3174772975887325,0.7406111111111111,-0.4,0.9423076923076924,1.9,0.1052631578947368,0.9523809523809524,8.08555688934585,0.3778720559605677,-0.0576923076923076,7.555555555555555,-1.588888888888889,4.812222222222222,0.0,0.0555555555555555,0.15,0.1333333333333333
SWE,1900,4,20,10,21,Sweden,0,0,1,1,France,0.0,0,0,0,1,5.999880002399952e-05,0.0037735849056603,0.0,103.0,,0.1705444444444444,0.0,1.0,1.5,0.0112781954887218,0.8,-1.6512653227656096,-3.963102867983144,,18.77777777777778,-20.3,7.054444444444444,0.0,0.2,0.15,0.1666666666666666
USA,1900,10,20,75,2,United States,19,14,15,48,France,0.3958333333333333,0,1,0,68,0.0040799184016319,0.1811320754716981,0.3958333333333333,2.145833333333333,2.4047832936704947,4.73817075862069,1.0,0.9333333333333332,2.0,0.0499999999999999,1.0,19.002184968548576,33.093153967363506,-0.0666666666666667,91.44827586206895,0.0670833333333335,64.03391810344827,0.5,0.0666666666666666,0.3,0.3777777777777777
AUS,1904,2,18,2,12,Australia,0,3,1,4,United States,0.0,0,0,0,11,0.0006599868002639,0.0144927536231884,0.0,57.75,0.3465610373139595,4.61425925925926,0.3333333333333333,1.0,1.8333333333333333,0.0181818181818181,0.9230769230769232,16.54377674670851,-0.3858881848061122,0.0,20.51851851851852,-4.305555555555555,13.071296296296296,0.0,0.5,0.1111111111111111,0.0631578947368421
AUT,1904,2,18,2,8,Austria,1,1,1,3,United States,0.3333333333333333,0,0,0,14,0.0008399832003359,0.0108695652173913,0.3333333333333333,77.0,0.0551838532906426,1.5832692307692309,-0.5,1.0,1.5,0.0553030303030303,0.8,11.586782641618507,-1.5373864429363628,0.0,3.769230769230769,-6.944444444444445,0.5551282051282049,0.0357142857142857,0.5,0.1111111111111111,0.0631578947368421
CAN,1904,6,18,55,3,Canada,4,1,1,6,United States,0.6666666666666666,0,0,0,8,0.0004799904001919,0.0217391304347826,0.6666666666666666,38.5,0.5288631643743766,0.1618721763085398,-0.7692307692307693,1.0,1.8333333333333333,0.0505050505050504,0.9230769230769232,8.03395188657819,0.2179734856952357,0.0,12.22222222222222,-12.39090909090909,4.838282828282827,0.5,0.4363636363636363,0.0555555555555555,0.0105263157894736
CUB,1904,2,18,3,4,Cuba,3,0,0,3,United States,1.0,0,0,0,5,0.0002999940001199,0.0108695652173913,1.0,77.0,0.2031844716790728,1.7785416666666665,-0.6666666666666666,1.0,2.0,0.2287878787878787,1.0,6.711959801730581,-1.6297849726297855,0.0,14.3125,-7.444444444444445,7.7854166666666655,0.0,0.3333333333333333,0.1111111111111111,0.0526315789473684
FRA,1904,1,18,1,13,France,0,1,0,1,United States,0.0,1,0,0,115,0.0068998620027599,0.0036231884057971,0.0,231.0,,2.5390804597701155,12.0,1.0,1.8333333333333333,0.0181818181818181,0.9230769230769232,-22.45321369959347,-1.8290257692590943,0.0149393090569559,27.03448275862069,-11.777777777777764,15.390804597701154,0.0,1.0,0.0555555555555555,0.0105263157894736
GBR,1904,3,18,6,9,Great Britain,1,1,0,2,United States,0.5,0,0,0,40,0.0023999520009599,0.0072463768115942,0.5,115.5,,0.6640503875968992,2.0,1.0,1.5,0.0553030303030303,0.8,-4.117827452726029,-1.7615453224304845,0.0136986301369863,22.209302325581397,-18.749999999999996,9.921511627906977,0.0,0.1666666666666666,0.1666666666666666,0.0421052631578947
GER,1904,9,18,22,2,Germany,4,5,6,15,United States,0.2666666666666666,0,0,0,37,0.0022199556008879,0.0543478260869565,0.2666666666666666,15.4,2.004839853666813,2.42108531842489,-0.7142857142857143,1.0,1.8333333333333333,0.0505050505050504,0.9230769230769232,21.21944291455444,-26.190974315506057,0.0,39.23529411764706,-6.5181818181818185,25.50925133689839,1.0,0.1363636363636363,0.4444444444444444,0.231578947368421
GRE,1904,3,18,14,11,Greece,1,0,1,2,United States,0.5,0,0,0,49,0.0029399412011759,0.0072463768115942,0.5,115.5,0.1369001607601737,0.1241836734693877,4.5,1.0,1.5,0.0553030303030303,0.8,-9.74402261832716,-1.4083494602168014,0.0,6.25,-18.940476190476183,-1.3071428571428545,0.0,0.3571428571428571,0.0555555555555555,0.0105263157894736
HUN,1904,2,18,4,5,Hungary,2,1,1,4,United States,0.5,0,0,0,15,0.0008999820003599,0.0144927536231884,0.5,57.75,0.2542131087306006,2.165648148148148,-0.5454545454545454,1.0,1.6666666666666663,0.109090909090909,0.8571428571428571,7.596116591083157,-0.4258747693314042,0.0,18.925925925925927,-5.305555555555555,11.656481481481482,0.0,0.25,0.1111111111111111,0.0947368421052631
NOR,1904,2,18,3,7,Norway,2,0,0,2,United States,1.0,0,0,0,7,0.0004199916001679,0.0072463768115942,1.0,115.5,0.0106191640316448,0.7298222222222222,-0.5882352941176471,1.0,1.6666666666666663,0.109090909090909,0.8571428571428571,1.0586407175038266,-2.238109444836738,0.0,6.52,-12.055555555555555,0.9473333333333328,0.0434782608695652,0.3333333333333333,0.1111111111111111,0.0526315789473684
SUI,1904,2,18,3,10,Switzerland,1,0,2,3,United States,0.3333333333333333,0,0,0,15,0.0008999820003599,0.0108695652173913,0.3333333333333333,77.0,0.0996497813761807,1.3055555555555556,0.6666666666666666,1.0,1.5,0.0553030303030303,0.8,4.75155074269602,-1.2701908774502515,0.0576923076923076,7.555555555555555,-7.444444444444445,3.055555555555556,0.0,0.6666666666666666,0.1111111111111111,0.0421052631578947
USA,1904,18,18,518,1,United States,76,78,77,231,United States,0.329004329004329,0,0,1,299,0.0179396412071758,0.8369565217391305,0.329004329004329,1.0,5.491445567484147,3.3065811314576457,-0.5,0.9855725879170424,2.0,0.0,1.0,37.66434695794943,292.51338850078787,0.0522392545837091,91.44827586206895,0.4459459459459459,64.14757688723206,0.0368852459016393,0.0173745173745173,0.0555555555555555,0.0105263157894736
ANZ,1908,6,24,30,11,Australasia,1,2,2,5,United Kingdom,0.2,0,0,0,5,0.0002999940001199,0.0155763239875389,0.2,29.2,0.1800919725243539,0.2022499999999999,0.0,1.0,1.5555555555555554,0.0629084967320261,0.8181818181818182,4.9423379640357865,1.254475376209113,,6.0,-6.883333333333333,2.135,0.0,0.1,0.25,0.1834862385321101
AUT,1908,4,24,7,19,Austria,0,0,1,1,United Kingdom,0.0,0,0,0,15,0.0008999820003599,0.0031152647975077,0.0,146.0,0.2360393623776359,0.0775902668759811,1.375,1.0,1.5555555555555554,0.0093370681605975,0.8181818181818182,-6.832558651874152,-2.1239825359702023,0.0,3.769230769230769,-24.023809523809515,-4.568681318681316,0.0,0.1428571428571428,0.1666666666666666,0.091743119266055
BEL,1908,11,24,70,10,Belgium,1,5,2,8,United Kingdom,0.125,0,0,0,25,0.0014999700005999,0.0249221183800623,0.125,18.25,0.5164292026450719,0.1355704081632652,1.0,1.0,1.5555555555555554,0.0629084967320261,0.8181818181818182,11.198529945610728,4.793221112172296,0.0,6.0,-7.791964285714286,1.8624107142857131,0.0,0.1285714285714285,0.4166666666666667,0.2844036697247706
BOH,1908,5,24,19,17,Bohemia,0,0,2,2,United Kingdom,0.0,0,0,0,4,0.0002399952000959,0.0062305295950155,0.0,73.0,-0.0412306203735907,0.0729639889196675,-0.15,1.0,1.5555555555555554,0.0093370681605975,0.8181818181818182,0.5851668581943217,-1.6128937525700375,0.2222222222222222,2.0,-14.89473684210526,-3.0684210526315776,0.0,0.1052631578947368,0.2083333333333333,0.1376146788990825
CAN,1908,11,24,87,7,Canada,3,3,10,16,United Kingdom,0.1875,0,0,0,24,0.0014399712005759,0.0498442367601246,0.1875,9.125,1.0524087152433428,0.3217202844937684,1.3333333333333333,1.0,1.7777777777777777,0.0792483660130718,0.9,11.924936529555207,13.0371146571429,0.0,12.22222222222222,-3.5400502873563218,7.493540469348657,0.0,0.0459770114942528,0.4583333333333333,0.3577981651376147
DEN,1908,8,24,78,16,Denmark,0,2,3,5,United Kingdom,0.0,0,0,0,17,0.0010199796004079,0.0155763239875389,0.0,29.2,0.2934281412709468,0.0790014792899408,0.6,1.0,1.5555555555555554,0.0093370681605975,0.8181818181818182,6.073344953167771,1.4854360424726585,0.0,7.321428571428571,-9.335897435897436,2.324230769230769,0.0,0.0128205128205128,0.3333333333333333,0.2477064220183486
FIN,1908,6,24,62,13,Finland,1,1,3,5,United Kingdom,0.2,0,0,0,5,0.0002999940001199,0.0155763239875389,0.2,29.2,0.3207861412842274,0.132428980228928,0.0,1.0,1.5555555555555554,0.0629084967320261,0.8181818181818182,4.061499431172604,1.6342387971718546,,12.16,-6.969354838709678,6.421193548387095,0.0,0.032258064516129,0.25,0.2110091743119266
FRA,1908,13,24,208,4,France,5,5,9,19,United Kingdom,0.2631578947368421,0,0,0,134,0.0080398392032159,0.0591900311526479,0.2631578947368421,7.684210526315789,1.8695484589565927,0.2545393239262394,-0.6923076923076923,1.0,2.0,0.1470588235294117,1.0,17.098376269774057,17.232589964952666,0.0,27.03448275862069,-3.529267881241565,17.865357566662013,0.0,0.1057692307692307,0.0416666666666666,0.0091743119266055
GBR,1908,24,24,732,1,Great Britain,56,51,39,146,United Kingdom,0.3835616438356164,0,0,0,186,0.0111597768044639,0.454828660436137,0.3835616438356164,1.0,4.038366013610071,0.5107276998972935,-0.8888888888888888,0.9567901234567902,2.0,0.0,1.0,35.71211294835451,156.70045285563157,-0.0432098765432098,22.209302325581397,0.1994535519125683,15.606347693480746,0.0434782608695652,0.0081967213114754,0.75,0.8165137614678899
GER,1908,12,24,82,5,Germany,3,5,5,13,United Kingdom,0.2307692307692307,0,0,0,50,0.0029999400011999,0.0404984423676012,0.2307692307692307,11.23076923076923,1.7682112651824742,0.5703774014067254,1.5,0.9864864864864864,1.7777777777777777,0.0792483660130718,0.9,12.835584912002428,8.506865809063521,-0.0135135135135135,39.23529411764706,-4.956848030018762,25.977651473347308,0.0,0.1219512195121951,0.5,0.3577981651376147
GRE,1908,3,24,20,15,Greece,0,3,1,4,United Kingdom,0.0,0,0,0,53,0.0031799364012719,0.0124610591900311,0.0,36.5,-0.0100542028240838,0.262075,0.3636363636363636,1.0,1.5555555555555554,0.0093370681605975,0.8181818181818182,-0.2490015334458272,1.2233857891838067,0.0,6.25,-4.2375,3.10375,0.0,0.1,0.125,0.2293577981651376
HUN,1908,8,24,65,6,Hungary,3,4,2,9,United Kingdom,0.3333333333333333,0,0,0,24,0.0014399712005759,0.02803738317757,0.3333333333333333,16.22222222222222,0.7862482400274997,0.3013956607495068,0.2,1.0,1.7777777777777777,0.0792483660130718,0.9,8.139107006525949,5.132088597860767,0.0,18.925925925925927,-4.935612535612535,11.767464387464388,0.0,0.0923076923076923,0.3333333333333333,0.3302752293577982
ITA,1908,8,24,66,9,Italy,2,2,0,4,United Kingdom,0.5,0,0,0,9,0.0005399892002159,0.0124610591900311,0.5,36.5,0.7321245925283497,0.1370911131517191,0.125,1.0,1.8888888888888888,0.1716464363523187,0.9473684210526316,6.333062389258685,0.4800677553253898,0.0277777777777777,23.074074074074076,-11.772727272727272,12.620033670033669,0.0,0.4393939393939394,0.3333333333333333,0.2752293577981651
NED,1908,11,24,113,17,Netherlands,0,0,2,2,United Kingdom,0.0,0,0,0,7,0.0004199916001679,0.0062305295950155,0.0,73.0,,0.015482508720037,0.0,1.0,1.5555555555555554,0.0093370681605975,0.8181818181818182,8.6582519835935,-1.2051208799862367,0.0,12.346153846153848,-32.982300884955755,-1.252382573179034,0.0,0.1504424778761062,0.4166666666666667,0.4036697247706422
NOR,1908,7,24,69,8,Norway,2,3,3,8,United Kingdom,0.25,0,0,0,15,0.0008999820003599,0.0249221183800623,0.25,18.25,0.3166551042311071,0.1517612476370509,0.1428571428571428,1.0,1.8888888888888888,0.1716464363523187,0.9473684210526316,6.348909908952993,4.079478781744781,0.0,6.52,-4.915307971014493,3.0894076086956512,0.0,0.4347826086956521,0.2083333333333333,0.1926605504587156
RSA,1908,4,24,14,14,South Africa,1,1,0,2,United Kingdom,0.5,0,0,0,2,0.0001199976000479,0.0062305295950155,0.5,73.0,0.0021714637850795,0.1404618689581095,0.0,1.0,1.5555555555555554,0.0629084967320261,0.8181818181818182,-0.7821370427570746,-1.2375439209272492,,4.842105263157895,-11.857142857142852,-0.1676691729323294,0.0344827586206896,0.2142857142857142,0.1666666666666666,0.1376146788990825
SWE,1908,14,24,164,3,Sweden,8,6,11,25,United Kingdom,0.32,0,1,0,26,0.0015599688006239,0.0778816199376947,0.32,5.84,1.882149207335508,0.3405971974353889,-0.8571428571428571,0.9891304347826086,2.0,0.1045751633986928,1.0,19.59979988168381,17.245912808275868,-0.0108695652173913,18.77777777777778,-2.670894308943089,12.343176151761517,0.0,0.0121951219512195,0.5416666666666666,0.5963302752293578
USA,1908,10,24,119,2,United States,23,12,12,47,United Kingdom,0.4893617021276595,1,0,0,346,0.0207595848083038,0.146417445482866,0.4893617021276595,3.106382978723404,1.858079703742208,2.9175144398530204,1.0,1.0,2.0,0.0555555555555555,1.0,13.376583703638689,43.43237340780983,0.0144274120829576,91.44827586206895,-0.4827015912748078,63.86898262606584,0.2,0.0588235294117647,0.4166666666666667,0.4770642201834862
ANZ,1912,4,17,25,12,Australasia,2,2,3,7,Sweden,0.2857142857142857,0,0,0,12,0.0007199856002879,0.022801302931596,0.2857142857142857,9.285714285714286,0.2889585267324855,0.3835755294117647,0.0909090909090909,0.9473684210526316,1.8823529411764703,0.1509803921568627,0.9444444444444444,6.527611290232199,4.439178416260079,-0.0526315789473683,6.0,-1.669579831932773,3.6991260504201673,0.0,0.2,0.2352941176470588,0.1495327102803738
AUT,1912,12,17,85,17,Austria,0,2,2,4,Sweden,0.0,0,0,0,19,0.0011399772004559,0.013029315960912,0.0,16.25,,0.044344317274421,-0.1052631578947368,0.9242424242424242,1.7647058823529411,0.0014705882352941,0.8947368421052632,21.345760401962508,0.8573059240154981,-0.0757575757575758,3.769230769230769,-10.71764705882353,-0.5768325791855204,0.0,0.0588235294117647,0.7058823529411765,0.4205607476635514
BEL,1912,9,17,36,13,Belgium,2,1,3,6,Sweden,0.3333333333333333,0,0,0,31,0.0018599628007439,0.019543973941368,0.3333333333333333,10.833333333333334,0.8772539008304542,0.211470588235294,0.3,0.9861111111111112,1.8823529411764703,0.1509803921568627,0.9444444444444444,15.786344513053333,3.840226146622737,-0.0138888888888888,6.0,-5.03921568627451,2.6882352941176464,0.0,0.0277777777777777,0.5294117647058824,0.205607476635514
CAN,1912,7,17,37,9,Canada,3,2,3,8,Sweden,0.375,0,0,0,32,0.0019199616007679,0.0260586319218241,0.375,8.125,0.964122412525538,0.3835734780885814,0.2857142857142857,1.0,1.6470588235294117,0.0732843137254901,0.85,12.139361721791149,5.629498837194406,0.0,12.22222222222222,-2.7176073131955483,7.7402733615968895,0.0,0.1081081081081081,0.4117647058823529,0.2710280373831775
DEN,1912,13,17,147,14,Denmark,1,6,5,12,Sweden,0.0833333333333333,0,0,0,29,0.0017399652006959,0.0390879478827361,0.0833333333333333,5.416666666666667,1.842621889238831,0.1153979959330669,-0.125,0.9914163090128756,1.8823529411764703,0.1078431372549019,0.9444444444444444,24.489096002837112,10.197993097842684,-0.0085836909871244,7.321428571428571,-3.2958183273309323,4.136254501800719,1.0,0.0340136054421768,0.0588235294117647,0.0093457943925233
FIN,1912,10,17,164,4,Finland,9,8,9,26,Sweden,0.3461538461538461,0,0,0,31,0.0018599628007439,0.0846905537459283,0.3461538461538461,2.5,1.68064432587771,0.290040385624803,-0.6923076923076923,0.9914163090128756,2.0,0.1544117647058823,1.0,19.784409477292225,21.252491152027297,-0.0085836909871244,12.16,-0.723816355810617,8.294855093256814,0.0,0.024390243902439,0.5294117647058824,0.411214953271028
FRA,1912,13,17,119,5,France,7,4,3,14,Sweden,0.5,0,0,0,148,0.0088798224035519,0.0456026058631921,0.5,4.642857142857143,2.913180273373002,0.3308672677996147,0.25,0.9913793103448276,2.0,0.1911764705882352,1.0,24.349214665495268,13.060254439464398,-0.0086206896551723,27.03448275862069,-2.6680672268907566,18.123717762967257,0.0,0.0336134453781512,0.6470588235294118,0.5794392523364486
GBR,1912,16,17,273,3,Great Britain,10,15,16,41,Sweden,0.2439024390243902,0,0,0,227,0.0136197276054478,0.1335504885993485,0.2439024390243902,1.5853658536585369,3.590535460353233,0.3818599849462282,2.0,0.9631236442516268,2.0,0.1102941176470588,1.0,28.76532285084945,40.921362617016975,0.0063335207948366,22.209302325581397,-0.400749417966061,15.426286802517156,0.0,0.0109890109890109,0.8823529411764706,0.6822429906542056
